period,feature_lstm_accuracy,n_predictions
1,0.5320046271750133,124482
2,0.5319473969236738,123719
3,0.5391599060195001,122153
4,0.527658487128974,121319
5,0.522037226562825,120183
6,0.5101960947583163,120095
7,0.5086867333696152,119435
8,0.5115786312522941,119876
9,0.5038812014849814,118520
10,0.507592172949369,120914
11,0.5041063650701555,122371
12,0.5044381461299203,123137
13,0.5037213577465247,122939
14,0.5061550680035739,120876
15,0.5034210880236702,118968
16,0.5074009757711072,120930
17,0.5051651946624934,120131
18,0.49997135819442057,122199
19,0.5078703365107227,123057
20,0.5031606280683247,123235
21,0.5010483377523965,122575
22,0.5085026076846871,122139
23,0.5092024041585446,123120
